Country Name,Country Code,Year,Access to electricity (% of population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Container port traffic (TEU: 20 foot equivalent units),Control of Corruption: Estimate,Control of Corruption: Number of Sources,Control of Corruption: Percentile Rank,Current account balance (% of GDP),"Current account balance (BoP, current US$)",Export value index (2015 = 100),Export volume index (2015 = 100),Exports of goods and services (annual % growth),Exports of goods and services (current US$),GDP growth (annual %),GDP per capita (current US$),"GNI per capita, Atlas method (current US$)",Gini index,Government Effectiveness: Estimate,Government Effectiveness: Number of Sources,Import value index (2015 = 100),Import volume index (2015 = 100),Imports of goods and services (% of GDP),Individuals using the Internet (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Political Stability and Absence of Violence/Terrorism: Number of Sources,"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)","Tariff rate, applied, simple mean, all products (%)","Tariff rate, most favored nation, weighted mean, all products (%)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)",Region,DID_Group
Cambodia,KHM,2011,37.4,0.0951600512,499981.517962547,237941.0,-1.25564956665039,14.0,5.21327018737793,-6.3986617266464,-1025873249.21647,78.5,76.2,19.1180870324018,8003673660.63817,7.28665813879552,1088.98152823081,990.0,,-0.872488141059875,9.0,69.6,57.0,59.8693279024614,3.1,-0.304419666528702,7.0,,,12.26,8.94,0.577,0.577,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2012,42.3,0.0681726118818161,508688.509386018,255378.0,-1.08068156242371,14.0,13.2701425552368,-6.80261456302101,-1212670581.62299,91.4,86.8,14.8187951009155,9498870541.58195,7.65025657870362,1192.80263041673,1110.0,,-0.821808159351349,9.0,85.3,72.8,63.4552308316603,4.94,-0.103577204048634,7.0,,,12.36,9.08,0.505,1.279,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2013,50.9,1.07095376052747,615123.328003715,286450.0,-1.06403398513794,14.0,12.7962083816528,-6.54160754946616,-1295705055.03438,78.1,75.9,14.6470306416617,11214912043.9009,7.8574997554252,1305.6600972686,1230.0,,-0.914554417133331,9.0,72.2,62.6,68.2669869941146,6.0,-0.136436149477959,7.0,,,10.2,8.71,0.438,0.438,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2014,56.1,1.75384,1071179.0,330000.0,-1.14717364311218,13.0,11.5384616851807,-6.55176399019618,-1444104699.161,80.0,78.3,11.0573051807198,12481981424.1486,8.00032074618566,1431.56396469993,1330.0,,-0.698889017105103,9.0,80.8,71.5,67.8253604970058,14.0,0.0231748018413782,7.0,,,8.04,8.34,0.692,0.692,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2015,62.7,2.30126,1103880.0,392000.0,-1.15356171131134,13.0,11.4285717010498,-6.61221348694338,-1598447753.50057,100.0,100.0,8.62482697495832,13532995573.0072,7.20703472529512,1547.32010444393,1430.0,,-0.742889702320099,9.0,100.0,100.0,66.1283765029746,6.43319,0.0633481442928314,7.0,,,10.245,9.055,0.393,0.393,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2016,68.8,1.441695,1047394.0,400187.0,-1.30162787437439,13.0,9.0476188659668,-6.52773923371676,-1733542017.09541,117.9,119.0,8.70586418490906,14986346465.4653,7.90550116130704,1675.19555711109,1550.0,,-0.741827428340912,9.0,93.5,92.9,66.2727178808437,32.3985,0.206190809607506,7.0,,,12.45,9.77,0.716,0.716,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2017,89.1,0.876,1305297.0,459835.0,-1.31654536724091,13.0,9.0476188659668,-6.1566420507123,-1807323271.66878,132.0,134.1,6.88352792108134,16527255663.0116,8.07503915535979,1826.35391688754,1690.0,,-0.695688724517822,9.0,108.0,103.2,64.8553976265984,32.9003,0.0935096517205238,7.0,,,11.3875,9.7325,0.141,0.141,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2018,80.7,0.67645,1411059.0,537107.0,-1.35710227489471,13.0,8.5714282989502,-8.7358230451204,-2895566486.60116,148.7,150.6,6.8929419329597,18386489552.4053,8.77622376224463,2036.67377566578,1920.0,,-0.599801898002625,9.0,132.2,121.3,62.9662580564288,42.6031,0.110921673476696,7.0,,,10.325,9.695,0.129,0.31999999999999995,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2019,84.0,0.68860716,1429503.73046387,639211.0,-1.32349991798401,13.0,9.5238094329834,-7.99991923360397,-2934798883.17741,173.5,177.0,12.3444528821985,20340881132.781,7.93695013588524,2225.87705485686,2100.0,,-0.623299896717072,9.0,153.2,144.5,60.289811099536,52.3059,-0.0754886493086815,6.0,,,9.2625,9.657499999999999,0.119,0.499,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2020,86.4,1.81366864,609564.382,641842.0,-1.27204155921936,11.0,10.4761905670166,-1.00006150750614,-348202154.743794,207.5,202.6,-12.2130815606546,20863615890.1823,-3.55572193406549,2081.73914242939,2050.0,,-0.450370341539383,8.0,144.4,138.0,62.1835984056075,53.6508,-0.209065958857536,5.0,,,8.2,9.62,0.172,0.172,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2021,82.5,2.9387301200000002,50217.459,732387.0,-1.19797551631927,11.0,11.4285717010498,-29.6082488651911,-10892923222.489,226.0,215.1,6.1422568614574,26621743091.289,3.08984284148661,2167.40324198499,2120.0,,-0.474705845117569,8.0,215.4,177.0,73.8188118661646,57.9592,-0.131522253155708,5.0,,,7.72,8.66,0.396,0.396,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2022,92.3,4.0637916,388564.002,732387.0,-1.24161159992218,11.0,9.90566062927246,-18.9575920517337,-7582000401.47853,263.2,240.6,21.3394679976063,28878876682.0659,5.12990110773977,2325.03050040841,2270.0,,-0.351413905620575,8.0,224.7,166.3,73.6665720833071,59.6606,-0.0980230420827866,5.0,,,12.31,7.2,0.245,0.326,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2023,95.0,2.441464,675283.0,732387.0,-1.29921674728394,11.0,9.43396186828613,1.30468362030439,552346250.599386,274.6,246.3,-0.367779562977617,28319442900.3223,5.00733043811898,2429.74853452838,2390.0,,-0.305874288082123,9.0,183.7,138.2,67.3141763407136,60.7171,0.0444938205182552,6.0,,,12.31,7.2,0.256,0.256,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2024,95.0,2.441464,675283.0,,-1.29921674728394,11.0,9.43396186828613,0.492098922813656,228100876.765877,274.6,246.3,14.4415893114104,33078910281.3995,5.97510939607335,2627.87969756224,2550.0,,-0.305874288082123,9.0,183.7,138.2,72.0834255374222,60.7171,0.0444938205182552,6.0,,,12.31,7.2,0.254,0.256,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2025,95.0,2.441464,675283.0,,-1.29921674728394,11.0,9.43396186828613,0.492098922813656,228100876.765877,274.6,246.3,14.4415893114104,33078910281.3995,5.97510939607335,2627.87969756224,2550.0,,-0.305874288082123,9.0,183.7,138.2,72.0834255374222,60.7171,0.0444938205182552,6.0,,,,,0.263,0.256,BRI - Southeast Asia,BRI Treatment Group
China,CHN,2001,97.0,4232.312,72660653.0,44726084.0,-0.557897567749023,7.0,35.9788360595703,1.28417196444636,17401000000.0,11.704497269,16.2161415147,,272060010515.89,8.31263887091522,1065.40597574519,1020.0,42.0,-0.123097203671932,6.0,14.5009484603,20.7581731318,18.0049595688389,2.63965,-0.327627182006836,6.0,1469410.0,463655.0,15.39,14.11,3.8,3.6,China (Source Country),China
China,CHN,2002,97.2,5013.505,83671798.0,55717488.0,-0.557897567749023,7.0,35.9788360595703,2.37759984341841,35421997979.6472,14.3215563167,20.4979117464,,333002310923.451,9.24339326638321,1163.55957673426,1130.0,42.0,-0.123097203671932,6.0,17.5741828524,24.5678926039,19.8426189671605,4.5957,-0.327627182006836,6.0,1565840.0,480305.0,12.15,7.72,4.24,4.0,China (Source Country),China
China,CHN,2003,97.4,5650.63,86040642.0,61898336.0,-0.395265489816666,8.0,43.9153442382812,2.55665409110255,43051582861.334,19.2757496483,27.0212190842,,447958253781.62,10.1181928640117,1306.97245408557,1300.0,41.63333333333333,-0.147587299346924,6.0,24.5753962638,33.9478895718,24.4751062787292,6.2,-0.56535792350769,6.0,1724670.0,462279.0,10.69,6.48,4.58,4.3,China (Source Country),China
China,CHN,2004,97.7,7024.25,119789024.0,74725444.0,-0.565061569213867,10.0,33.4975357055664,3.47450259619584,68940960688.562,26.0978381917,33.5330800134,,607356934124.72,10.1314073631003,1530.92726215723,1530.0,41.266666666666666,-0.109930388629436,7.0,33.4151203297,41.3239766992,28.0306177944035,7.3,-0.39068067073822,7.0,1928880.0,551196.0,9.81,5.96,4.49,4.2,China (Source Country),China
China,CHN,2005,97.9,7579.401,136721623.0,67245263.0,-0.617887735366821,10.0,32.1951217651367,5.71199843031159,132378493766.399,33.5,41.9,,773339005396.99,11.458238455067,1777.64496828464,1790.0,40.9,-0.140640497207642,7.0,39.3,46.1,27.9912771909315,8.52326,-0.501756608486176,7.0,2072600.0,583320.0,9.24,4.9,4.52,4.2,China (Source Country),China
China,CHN,2006,98.2,7692.205,158013351.0,84810503.0,-0.51888769865036,11.0,37.073169708252,8.30532573537482,231843041064.413,42.6,51.2,,991731387760.501,12.6746751655235,2129.25696999613,2090.0,41.6,0.0357880145311356,8.0,47.1,53.7,28.0427329939926,10.5232,-0.540030121803284,8.0,2195441.0,635327.0,8.89,4.4,4.43,4.1,China (Source Country),China
China,CHN,2007,98.5,11189.538,183613132.0,103823024.0,-0.599234640598297,12.0,32.5242729187012,9.79958953536146,353182677237.315,53.7,61.3,,1258056795940.68,14.1499854947127,2734.72709877693,2550.0,42.3,0.165997371077538,9.0,56.9,61.1,26.3597683811527,16.0,-0.500553727149963,8.0,2379700.0,689618.0,8.93,5.48,4.35,4.0,China (Source Country),China
China,CHN,2008,98.8,11386.055,191001220.0,115941970.0,-0.526307642459869,12.0,36.4077682495117,9.0108699631763,420568516143.544,62.9,66.6,,1497868782939.59,9.67024588602851,3523.44302065213,3140.0,43.0,0.165779024362564,9.0,67.4,63.4,24.6186193981779,22.6,-0.49308842420578,8.0,2510628.0,777860.0,8.7,4.87,4.59,4.2,China (Source Country),China
China,CHN,2009,99.1,11976.438,229062099.0,108799933.7248,-0.519456624984741,12.0,36.8421058654785,4.68740638141982,243256567919.618,52.9,59.6,,1262664161019.72,9.40269972778044,3898.24459158811,3740.0,43.35,0.0932420492172241,9.0,59.9,65.2,20.0889926205716,28.9,-0.451781332492828,8.0,2523917.0,787890.0,8.09,3.97,4.72,4.3,China (Source Country),China
China,CHN,2010,99.7,17193.8774,266293020.0,135917800.0,-0.570009887218475,13.0,33.8095245361328,3.84025673415249,237810389607.954,69.4,76.4,,1654823329663.86,10.5962719761682,4629.24551710077,4410.0,43.7,0.0918448567390442,9.0,83.1,79.6,23.1313270836509,34.3,-0.65706068277359,8.0,2764413.0,791158.0,8.09,5.3,4.53,4.1,China (Source Country),China
China,CHN,2011,99.9,16764.869,292160158.0,151800937.0,-0.514727592468262,14.0,36.9668235778809,1.77399724587567,136096761577.55,83.5,83.1,,2006308960976.47,9.4613358870736,5703.76027973346,5130.0,42.4,0.0836087092757225,9.0,103.8,86.6,23.7939443304884,38.3,-0.602054834365845,9.0,2946579.0,921541.0,8.13,6.97,4.55,4.1,China (Source Country),China
China,CHN,2012,99.9,15568.753,318475924.0,165939400.0,-0.438275933265686,14.0,41.2322273254395,2.48328422404793,215391747469.441,90.1,87.7,,2175069254663.85,7.85617427055587,6405.0574241349,6010.0,42.2,0.0153677640482783,9.0,108.3,90.7,22.4035087488717,42.3001,-0.538782060146332,9.0,2918709.0,940249.0,8.0,6.513333333333333,4.58,4.1,China (Source Country),China
China,CHN,2013,100.0,16053.7331,352795296.0,176607144.0,-0.355887651443481,13.0,45.0236968994141,1.52111320885029,148203949879.877,97.2,95.1,,2354264539609.2,7.77872409446717,7147.03518622344,6860.0,39.7,-0.0051206895150244,9.0,116.1,99.1,21.7526982889717,45.8,-0.543789923191071,9.0,2917390.0,1008172.0,7.87,6.056666666666667,4.6,4.05,China (Source Country),China
China,CHN,2014,100.0,17822.581,390878784.0,187291913.0,-0.337719589471817,11.0,45.6730766296387,2.21130586371267,236046577873.629,103.0,100.6,,2462825804851.16,7.46190028229434,7781.06597484974,7600.0,39.2,0.354851633310318,9.0,116.7,102.1,20.9964797865269,47.9,-0.522584021091461,9.0,2753020.0,1089560.0,7.74,5.6,4.63,4.1,China (Source Country),China
China,CHN,2015,100.0,19805.63,436183969.0,195509165.0,-0.299921870231628,11.0,47.1428565979004,2.59752794949746,293022317035.547,100.0,100.0,,2362097053274.6,6.97878002657477,8175.33285077393,8040.0,38.6,0.417423009872437,9.0,100.0,100.0,17.7581206128298,50.3,-0.552559673786163,9.0,2375430.0,1109312.0,7.82,5.58,4.65,4.033333333333333,China (Source Country),China
China,CHN,2016,100.0,21304.5851,487960477.0,202830580.0,-0.268094301223755,12.0,47.1428565979004,1.67018709565351,191337035941.993,92.3,101.4,,2199974853570.14,6.77555562837017,8254.86859320357,8360.0,38.5,0.356383770704269,8.0,94.5,103.7,16.9735199564368,53.2,-0.502221345901489,9.0,2379230.0,1160059.0,7.88,4.29,4.56,3.9666666666666663,China (Source Country),China
China,CHN,2017,100.0,23323.6147,551234509.0,218712874.0,-0.291626125574112,12.0,46.1904754638672,1.50488723669315,188676126121.161,99.6,108.6,,2424216052098.35,6.8912663621211,8979.67652709856,8830.0,39.1,0.416875630617142,9.0,109.8,112.9,17.6152224500872,54.3,-0.232558101415634,9.0,2696220.0,1266681.0,8.46,4.89,4.47,3.9,China (Source Country),China
China,CHN,2018,100.0,25256.2071,611439830.0,229127700.0,-0.286848217248917,12.0,45.238094329834,0.170563391928727,24130909184.4985,109.4,113.1,,2655609176087.45,6.75671800166833,10085.6638148819,9720.0,38.5,0.496678441762924,9.0,127.2,120.2,18.1238645885338,59.2,-0.298572480678558,9.0,2882100.0,1361715.0,7.56,4.27,4.31,4.93,China (Source Country),China
China,CHN,2019,100.0,25394.5878,659629070.0,237570000.0,-0.312614381313324,11.0,43.8095245361328,0.706790487310518,102909876008.387,109.9,115.3,,2628941104657.6,6.06850235053705,10342.9009524335,10510.0,38.2,0.544862508773804,8.0,123.7,120.2,17.1437133141341,64.0809,-0.259780675172806,8.0,3018200.0,1438606.0,5.39,3.29,4.56,5.15,China (Source Country),China
China,CHN,2020,100.0,19264.2436,417255845.0,240480000.0,-0.0710281431674957,10.0,52.8571434020996,1.65930095801393,248835643936.04,113.9,118.5,,2729884575163.89,2.34018843078414,10627.4637989619,10740.0,37.1,0.643971681594849,7.0,123.0,126.1,15.8353686179759,70.0528,-0.474127858877182,8.0,3018200.0,328251.0,5.32,3.31,5.0,5.61,China (Source Country),China
China,CHN,2021,100.0,20961.2116,440301216.0,256945700.0,0.0302335843443871,10.0,56.1904754638672,1.93875176197337,352885754634.63,145.9,139.0,,3554107780957.44,8.57008513166322,12887.4357242941,12220.0,35.7,0.80791163444519,7.0,159.5,135.6,16.9944489517585,73.0532,-0.516462862491608,8.0,3018200.0,946499.0,5.31,3.08,4.55,5.11,China (Source Country),China
China,CHN,2022,100.0,18964.4442,250754113.0,268990000.0,0.0160636715590954,10.0,55.1886787414551,2.42059259149418,443374257116.429,155.9,136.1,,3717887818646.97,3.1341888719577,12970.6056414327,13170.0,36.0,0.494212538003922,7.0,161.1,125.9,17.1429881849654,75.6113,-0.45127671957016,8.0,,946499.0,5.36,2.86,4.98,5.11,China (Source Country),China
China,CHN,2023,100.0,26170.3716,619215886.0,268990000.0,-0.0053701046854257,9.0,54.2452812194824,1.4415829879426,263382353368.19,148.6,140.2,,3490089712362.99,5.41484330099675,12951.1782397043,13750.0,36.0,0.679014027118683,7.0,152.2,129.5,17.0027206530128,90.6,-0.513097047805786,8.0,,946499.0,5.36,2.86,4.67,5.11,China (Source Country),China
China,CHN,2024,100.0,26170.3716,619215886.0,268990000.0,-0.0053701046854257,9.0,54.2452812194824,2.2616499482671,423919214716.3,148.6,140.2,,3753056083349.04,4.9773565917572,13303.1481543868,13660.0,36.0,0.679014027118683,7.0,152.2,129.5,17.1755035026016,92.0,-0.513097047805786,8.0,,,5.36,2.86,4.59,,China (Source Country),China
China,CHN,2025,100.0,26170.3716,619215886.0,,-0.0053701046854257,9.0,54.2452812194824,2.2616499482671,423919214716.3,148.6,140.2,,3753056083349.04,4.9773565917572,13303.1481543868,13660.0,,0.679014027118683,7.0,152.2,129.5,17.1755035026016,92.0,-0.513097047805786,8.0,,,,,4.615,,China (Source Country),China
Ethiopia,ETH,2001,10.2,79.223,1027528.0,,-0.717909097671509,4.0,31.2169303894043,-4.53620596538169,-373389901.789351,15.6158835852,37.4652187481,,,8.30130632267965,118.457204255261,120.0,,-1.04439079761505,4.0,10.8425766892,17.0817815688,,0.0371624,-1.22584557533264,4.0,,,19.51,12.11,3.16,,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2002,11.9,83.493,1103184.0,,-0.717909097671509,4.0,31.2169303894043,-1.74046524518375,-136640610.781199,16.481930192,38.5863436585,,,1.51472570667433,109.593813612988,120.0,29.8,-1.04439079761505,4.0,9.5408002646,14.9952684634,,0.0724023,-1.22584557533264,4.0,,,19.65,13.48,3.054,,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2003,13.5,93.469,1117329.0,,-0.777412176132202,6.0,25.9259262084961,-1.58150719828577,-136384298.668089,17.0354532007,36.0970505335,,,-2.16135972256865,116.800491132777,110.0,29.8,-1.07022738456726,5.0,16.0814268914,23.9198536663,,0.105812,-1.40960443019867,5.0,,,19.3875,13.1175,3.008,2.497,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2004,15.2,117.155,1403293.0,,-0.757493495941162,9.0,26.1083736419678,-6.59189372254429,-667837097.106207,23.2797473963,43.0971838519,,,13.5726031401471,133.169812538096,130.0,29.8,-0.878722608089447,7.0,17.2061177991,23.358817908,,0.155335,-1.31249165534973,6.0,,,19.125,12.754999999999999,2.776,2.497,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2005,14.0,132.601,1667316.0,,-0.772508382797241,11.0,23.4146347045898,-12.6419842587598,-1567750097.67822,30.5,44.6,,,11.8187659491625,158.243458082465,160.0,30.366666666666667,-0.917718350887299,8.0,23.9,26.9,,0.21966,-1.69038331508636,6.0,,,18.8625,12.3925,2.497,2.497,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2006,18.6,157.184,1720306.0,,-0.650104701519012,14.0,30.7317066192627,-11.6871605564419,-1785898857.01804,35.1,47.7,,,10.8347270679373,189.345737521418,180.0,30.933333333333334,-0.690580487251282,10.0,32.4,34.4,,0.310593,-1.74013221263885,7.0,,,18.6,12.03,2.337,2.46625,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2007,20.3,160.322,2290179.0,,-0.632185876369476,14.0,30.5825233459473,-4.20144598076542,-828004872.805442,42.7,50.7,,,11.4561670019891,237.146255996319,210.0,,-0.47174859046936,10.0,36.1,35.6,,0.37,-1.80640935897827,7.0,,,18.39,11.059999999999999,2.337,2.4354999999999998,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2008,22.0,227.762,2715017.0,,-0.666399776935577,13.0,30.0970878601074,-6.67139557726763,-1805740812.44915,54.4,56.2,,,10.7885216870332,316.410475118075,270.0,32.06666666666667,-0.450209558010101,10.0,52.0,44.8,,0.45,-1.73212063312531,7.0,,,18.18,10.09,2.326,,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2009,23.7,424.472,2914056.0,,-0.704722344875336,13.0,25.8373203277588,-6.75348362103612,-2190653761.04338,54.4,59.6,,5331910669.97519,8.8025531990487,368.574712267445,330.0,32.63333333333333,-0.562428534030914,10.0,47.8,48.2,31.5460822119553,0.54,-1.64107227325439,7.0,,,18.24,10.38,2.326,,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2010,25.5,407.062,3347022.0,,-0.694108724594116,14.0,28.0952377319336,-2.1222608717343,-635273119.692721,81.8,79.7,-10.3614186524401,5331910669.97519,12.5505383347633,330.619412798644,370.0,33.2,-0.488994628190994,10.0,51.7,49.2,31.5460822119553,0.75,-1.63510119915009,7.0,,,18.19,10.27,2.295,,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2011,23.0,505.565,4440917.69083987,,-0.667876601219177,15.0,27.014217376709,-3.30367964138338,-1055616929.04166,101.3,79.2,-10.3614186524401,5331910669.97519,11.1782962297008,343.024942351887,380.0,33.56,-0.521041929721832,10.0,53.1,44.3,31.5460822119553,1.1,-1.5069637298584,8.0,,,18.22,10.51,2.27,2.3125,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2012,29.0,703.644,5001121.86524561,,-0.608586847782135,14.0,32.2274894714355,-7.1067486808021,-3077984122.74121,100.5,85.6,-10.3614186524401,5962716169.22631,8.64781163513926,452.101031885754,400.0,33.92,-0.454180359840393,10.0,70.8,59.9,31.630605984481,2.9,-1.56427133083344,8.0,,,18.15,9.98,2.252,2.2817499999999997,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2013,30.8,790.74339,5671501.0,,-0.501710414886475,15.0,37.9146919250488,-6.36626399169653,-3033415076.16886,107.2,98.7,0.27516483261472,5948445900.95456,10.5822700502552,484.039833104062,450.0,34.28,-0.620984315872192,11.0,73.3,64.0,28.9877135217855,4.6,-1.40730738639832,8.0,,,18.056666666666665,10.706666666666667,2.251,2.251,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2014,27.2,950.1573,6274582.0,,-0.448165893554688,14.0,40.8653831481934,-10.3781721184147,-5771532764.96012,114.7,100.3,2.82186566039451,6474164234.1889,10.2574929627477,549.986577082588,530.0,34.64,-0.443245232105255,11.0,90.8,80.1,29.0994642402923,7.7,-1.3393874168396,8.0,,,17.963333333333335,11.433333333333334,2.361,2.4615,BRI - Africa,BRI Treatment Group
Ethiopia,ETH,2015,29.0,1228.73832,7074779.0,,-0.476118475198746,14.0,38.5714302062988,-12.1838327178752,-7566576583.35525,100.0,100.0,-11.2187298444222,5814937799.04306,10.3924630141307,597.912113218663,570.0,35.0,-0.712037622928619,11.0,100.0,100.0,30.2928105475922,13.8552,-1.49694204330444,8.0,,,17.87,12.16,2.442,2.6719999999999997,BRI - Africa,BRI Treatment Group
