Country Name,Country Code,Year,Access to electricity (% of population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Container port traffic (TEU: 20 foot equivalent units),Control of Corruption: Estimate,Control of Corruption: Number of Sources,Control of Corruption: Percentile Rank,Current account balance (% of GDP),"Current account balance (BoP, current US$)",Export value index (2015 = 100),Export volume index (2015 = 100),Exports of goods and services (annual % growth),Exports of goods and services (current US$),GDP growth (annual %),GDP per capita (current US$),"GNI per capita, Atlas method (current US$)",Gini index,Government Effectiveness: Estimate,Government Effectiveness: Number of Sources,Import value index (2015 = 100),Import volume index (2015 = 100),Imports of goods and services (% of GDP),Individuals using the Internet (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Political Stability and Absence of Violence/Terrorism: Number of Sources,"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)","Tariff rate, applied, simple mean, all products (%)","Tariff rate, most favored nation, weighted mean, all products (%)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)",Region,DID_Group
Cambodia,KHM,2001,9.5,4.087,124847.0,,-0.990784227848053,3.0,17.4603176116943,-2.11975415828821,-87877926.7863017,17.5543293618,21.0360197696,17.846896828423,2121742524.00612,7.38971065070517,327.500984314444,310.0,,-0.807996273040771,3.0,15.7911787815,25.8999038127,60.5919660427045,0.0769561,-0.72216534614563,3.0,92.0,33.0,16.74,16.49,0.778,2.055,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2002,13.1,4.087,124847.0,,-0.990784227848053,3.0,17.4603176116943,-2.38394601973682,-107306836.844281,22.5111484582,26.7836381167,13.7060263128346,2439168009.42048,6.26507280509637,350.147276634294,320.0,,-0.807996273040771,3.0,17.4803975272,29.6476126823,64.0806115959488,0.226983,-0.72216534614563,3.0,92.0,39.0,16.28,16.28,0.862,1.4820000000000002,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2003,19.3,3.265,164515.0,,-0.989836037158966,5.0,14.2857141494751,-4.6255631414654,-233437993.673334,24.793870227,29.2102247279,9.77634053259983,2736752434.9334,10.2836813071691,386.691123931778,370.0,,-0.918026566505432,3.0,19.3049045888,30.3161279767,65.846345075958,0.26057,-0.652008533477783,3.0,92.0,45.0,16.26,16.47,0.909,0.909,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2004,14.2,3.143,162132.0,,-1.05834627151489,6.0,14.2857141494751,-3.10902285879404,-182913053.551248,32.7541307291,37.9218446111,30.1726609769893,3578124691.83079,9.45769481103929,444.199067529081,430.0,,-0.907455146312714,4.0,24.0810951749,34.7636698742,70.5331236862783,0.300437,-0.407748281955719,4.0,92.0,45.0,15.175,13.774999999999999,1.004,7.53,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2005,20.5,1.202,168810.0,253271.0,-1.22373998165131,10.0,10.2439022064209,-4.34447481248578,-306993470.02624,36.1,42.7,18.7885882576693,4313261450.65364,13.3033338358455,525.797325120926,510.0,,-1.00211262702942,7.0,29.3,34.5,72.5120489103296,0.317322,-0.393915474414825,5.0,92.0,45.0,14.09,11.08,1.061,5.439,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2006,27.5,1.111,256160.0,253271.0,-1.26038551330566,13.0,7.31707334518433,-2.80064293867027,-233868557.25949,43.2,49.9,19.3127329675137,5400482920.00244,10.9433600681694,612.252648550727,580.0,,-0.981054723262787,9.0,35.3,40.0,75.6764049872155,0.468357,-0.345979183912277,6.0,,45.0,13.73,10.86,1.16,3.348,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2007,20.2,2.03,307782.0,253271.0,-1.15168952941895,13.0,10.6796112060547,-4.17983206597175,-423329899.805659,47.8,54.2,11.3261389205511,6191862457.21397,10.398458101201,731.692295125426,670.0,,-0.912372171878815,9.0,40.6,43.3,72.5634368325363,0.49,-0.363606303930283,6.0,,45.0,12.42,11.68,1.257,1.257,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2008,26.4,0.661,211281.0,258775.0,-1.24171054363251,14.0,5.33980560302734,-6.73529622284658,-819975437.40798,55.1,60.3,15.7605419629893,7521137176.17915,7.47636606631011,866.283999789749,780.0,,-1.00112020969391,9.0,48.7,46.3,68.614724994177,0.51,-0.298690915107727,6.0,,,12.36,11.42,0.825,0.825,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2009,25.6,0.987,183503.0,207577.0,-1.18124008178711,14.0,9.56937789916992,-5.92994303077878,-741414916.56002,49.1,54.5,-7.96453717563855,5777715035.42259,4.07477850599065,875.748936193569,840.0,,-0.960240483283997,9.0,43.8,45.7,56.0769540065406,0.53,-0.560373842716217,6.0,,,12.76,10.46,0.579,0.579,BRI - Southeast Asia,BRI Treatment Group
Cambodia,KHM,2010,31.1,0.022663075938342,277725.054297226,222928.0,-1.24900782108307,14.0,6.1904764175415,-7.10406918806883,-980977704.338841,60.2,65.8,19.9833887273962,6935619206.60821,5.07691843229247,952.274616324008,910.0,,-0.96263325214386,9.0,51.3,49.3,59.7718577537062,1.26,-0.50098443031311,6.0,,,13.16,9.5,0.771,0.771,BRI - Southeast Asia,BRI Treatment Group
