Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,609.939506905073,599.937345723927,672.44178669894,771.902247348954,827.619861189926,900.873564984808,998.090114197524,1067.04324565284,963.788066395225,987.304571124485,1131.73513834324,1204.36475491585,1225.4340119198,1266.61340849959,1380.47020838317,1424.69161195897,1519.23459514248,1569.33814626355,1390.41690981745,1278.39735206896,1455.31922370186,1538.3228133171,1360.32417758419,1478.77277977996,..
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.65135017083765,2.59481668445784,5.40131087314342,7.83125556961251,7.2765744364722,6.05163767569996,4.4448143398844,2.1204410433083,3.47255059567348,1.50171752152883,2.68011685421705,3.02758391088629,4.36686504978387,4.11642817161422,4.21794209572506,6.57383828511043,4.43262590683975,6.15170261099519,2.49763692943365,-1.27408744338709,6.51388575852702,4.7781068690358,-0.414935997088406,3.04898287335465,..
Pakistan,PAK,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.31855,2.57743,5.04116,6.16432,6.33233,6.5,6.8,7,7.5,8,8,8.1,9,10,11,12.3854,13.78,15.34,17.0709,18.9348,21.4107,24.2103,27.3759,..,..
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,73.9,74.9,76,77,78.1,79.1,80.2,81.4,82.5,87.1,87.8,88.6,89.3,90.1,91,91.8,92.7,93.4,93.9,94.5,94.9,95,95.6,..,..
Pakistan,PAK,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,20.34,17.37,16.98,16.17,14.72,14.86,14.97,14.06,14.72,14.79,14.39,14.14,14.65,13.63,12.73,12.55,..,12.58,12.55,11.7,11.65,10.97,..,..,..
Pakistan,PAK,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4520,4573,4813,4796,5014,5907,5454,6187,..,..,1757,402.481,419.241,1090,3301,4774,5031,8080,..,..,..,..,..,..,..
Pakistan,PAK,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,371.228,346.88,346.607,402.035,407.926,426.991,313.872,319.796,303.905,332.957297192,297.683519787229,286.075685790508,292.760800570437,204.623134285262,183.17731267,175.4744,214.52857,217.534134,192.977927,95.88035,75.60493,95.329,309.514606,..,..
Pakistan,PAK,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,878892,..,787559,1269373,1686355,1776939,1935882,1938001,2058056,2224000,2300000,2231250,2252000,2447600,2706324,3074000,3284000,3249000,3150000,3161000,3548000,3383580,..,..,..
Pakistan,PAK,Exports of goods and services (current US$),NE.EXP.GNFS.CD,10322860872.5524,11029069178.3046,13669643162.0283,15103000000,17790723344.6096,20313153770.8457,21406517114.1039,24013343672.3078,23213002701.9693,24858636642.8718,31088962295.1378,29697611485.2317,31497982328.1766,30382086972.4595,29920081165.7791,27400963629.0087,27888160733.4655,30562205605.5736,30136170670.3429,27935253908.9592,31546332472.5314,39515650036.1059,35331726543.8312,38607805445.7571,..
Pakistan,PAK,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,13.3493734437813,13.128090490822,25.8472127021002,-1.35385044970403,17.5893458904921,11.1106199298696,3.06038739132875,2.3838855144088,-5.61529116111744,7.85407898173813,2.77757698867076,-12.9257331586131,9.15265933499272,-2.48293911885014,-3.82934828924222,1.44990747132702,2.47135261052142,10.0405965788587,13.1723488525673,1.51538917152254,6.19426727810412,6.65729388064977,2.52724678909442,-1.32891083926491,..
Pakistan,PAK,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,66.5526557815,74.6207896479,83.8321680467,87.8605389898,104.9,108,110.1,111.4,102.5,110.3,110.6,106.6,111.6,106.5,100,98.4,103.7,120.2,136.6,132.1,150.7,159.5,165.6,..,..
Pakistan,PAK,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,41.8214561761,44.8772564112,54.0084403506,60.5682249229,72.7,76.6,80.8,92,79.3,96.9,114.9,111.2,113.7,112,100,92.2,97.6,106,105.6,99.5,128.2,139.9,128.9,..,..
Pakistan,PAK,Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD,60.1136549154,65.7123362983,66.611594396,81.7072173905,102.2,109.2,108.1,109.6,98.5,103.3,97.1,93.1,92.1,98.8,100,120.2,146.5,161.2,160,156.6,207.5,172.9,169.8,..,..
Pakistan,PAK,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,23.0732657142,25.432439778,29.5191088609,40.6380184713,57.4,67.5,73.8,95.8,71.7,85.6,99.6,99.9,101.1,107.7,100,106.1,130.7,136,114,103.8,164.1,160.3,113.9,..,..
Pakistan,PAK,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,12.9510350567841,11.8660490591242,12.4855146143016,13.3853645017194,17.6266523028659,20.5007727406812,19.1628048720082,22.4731455329041,20.9358990809684,19.3517774869368,18.8800834134221,19.4450091286838,18.7127751361147,18.2748539477852,16.7136150659843,15.9648616568916,17.2504236583884,19.044257474073,19.5147134481005,17.4177212905341,17.9788205237729,22.4907632059279,17.9737337958273,17.1880155617051,..
Pakistan,PAK,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,20.62,17.39,16.72,13.02,13.01,12.77,12.23,9.7,9.88,10.2,9.74,9.79,9.41,9.91,10.66,11.32,..,10.57,9.82,9.54,9.9,8.07,..,..,..
